,Comment ID,Body
23,hto7rb5,Chopins Nocturne in E flat Major (op 9 no 2)
24,htoqt3c,"Vincent by Don McLean

EDIT: Wow, thanks everyone for the up-votes. I’m happy you all see the same beauty that I do in one of my favorite songs. You’ve made my day!"
25,hto3vhx,"Avril 14th.

That or maybe some Bach cello tunes."
26,htp2ku7,Nutshell by AIC
27,htojal4,Holocene - Bon Iver
28,htomsay,Fake Plastic Trees - Radiohead
29,htor19b,Louis Armstrong - What A Wonderful World
30,htoqsv3,"I Will Follow You Into the Dark- Death Cab for Cutie 

Maybe it’s just because it was a lost song from my childhood, but listening to it again after almost 10 years almost made me start crying."
31,htoljv6,Ain’t no Sunshine Bill Withers
32,htooc63,Enjoy the silence by Depeche Mode
33,htoiyu7,La vie en rose-Louis Armstrong
34,htocb86,"As the world falls down - David Bowie
The small music video that it has in Jim Henson's Labyrinth adds to the beauty of it"
35,hto6l8o,Jeff Buckley - Hallelujah
36,htoqcv6,"Your song By Elton John, I love that master piece!"
37,htois1e,"Little Wing - Jimi Hendrix
Lenny - Stevie Ray Vaughan"
38,htohaj9,Peter Gabriel's version of the Book of Love.
39,htp0wm9,"Pictures of You- The Cure

""There was nothing in the world
That I ever wanted more
Than to feel you deep in my heart""



Edit:  Thank You for the award!  It's amazing to see how a song has touch so many in different ways.  I am glad we share love for awesome music."
40,hton7sr,Wicked Game by Chris Isaac
41,htoai08,Whiter Shade of Pale by Procul Harem
42,htogggx,"Unchained Melody - Righteous Brothers

Maybe not my personal ""most beautiful"", but it deserves to be in this thread."
43,htongon,Love of my life by queen. Freddie’s vocal performance can’t be matched by anyone and every detail of the song is perfect and it nearly brings me to tears every time I hear it
44,htonyxf,"Night in White Satin - The Moody Blues. 

Beautiful arrangement and dynamics."
45,htoinsr,The Sundays version of Wild Horses
46,htp0vsw,Landslide by Fleetwood Mac
47,htopzkq,"At Last - Etta James

Songbird - Christine McVie w/Fleetwood Mac

Georgia On My Mind - Ray Charles"
48,htolxwb,The Trapeze Swinger - Iron & Wine
49,htovv9b,Both Sides Now - Joni Mitchell
50,htoo31z,Can’t Help Falling In Love by Elvis Presley
51,htow6lk,"Lost Cause by Beck. In fact that whole album, Sea Changes, is one of the most hauntingly beautiful albums."
52,htoj6ho,Scarborough Fair - Simon and Garfunkel
53,htod46h,Plainsong The Cure
54,htomnm8,Hurt by Johnny Cash
55,htokf75,My Body is a Cage - Arcade Fire. I have had a horrible medical condition since I was a kid. The song sounds exactly as my heart feels; words happen to line up too.
56,htojazk,Everlong - Foo Fighters
57,htopkc9,First time ever I saw your face (Roberta Flack version)
58,htp1urp,Hide and Seek - Imogen Heap
59,htojouj,Bread - Everything I own a song that could be about a failed relationship but was actually about David Gates losing his Dad
60,htoh21v,Time to say goodbye-andrea bocceli and sarah brightman. Played at my grandmas funeral two days ago and it was perfect x
61,htoi19p,"“Silence” by Delirium, featuring Sarah McLachlan (make sure you get the unabridged 6:34 version and not the radio cut; it absolutely destroys its flow and harmony).

When I was 19, a friend of mine had just graduated boot camp. He came home and met both his best friend and I at his mom’s house and we headed out shortly after. But before we did, he sat in front of his sound system and just listened with his eyes closed to Orbital’s “Halcyon and On and On” (another excellent choice in this vein). I didn’t understand why then. Once I myself graduated boot camp, this song became for me what that song was to him—a reset of my soul from a hardening trauma that you can’t explain, you can only feel.

This song healed my soul. I hope you find the song that does for yourself."
62,htoily9,i love remember me from coco. its such a pretty song
63,htohw4n,"Midnight Train to Georgia, by Gladys Knight and the Pips"
64,htpe0o7,Mazzy Star - Fade into you
65,htoo2al,Pink Floyd - Wish You Were Here.
66,htojfon,"The Weight, by The Band.

But you gotta focus on the lyrics, it is a utopian description of human empathy."
67,htobsmu,"Saturn by Sleeping at Last. It shares how it’s rare and beautiful to even exist, and how the universe was made just to be seen by our eyes. I listen to it when I need inspiration or a mood boost. Highly recommend all songs by this artist!

Edit: a lot of your comments are enlightening and have such great stories of how this song and others by this artist have impacted you. I love hearing that. Cheers to the artist and cheers to you guys. Thanks for the neat awards!"
68,htoj9mp,"I know it's overplayed, but I've always loved Pachelbel's Canon"
69,htoeptl,"“I’m not in Love” 10CC

Edit to say WOW, thank you anonymous for the gold! Also, shout out to all the 10CC fans. I hope they know how they touched all of our lives!"
70,htpnfo4,"My husband sang “Even If” when our son was dying and everyone sobbed it was so beautiful. He doesn’t sing much anymore but that was special.

Otherwise— There, There Katie. I listened to it a lot when we knew things were bad with our son and my name is one letter off from Katie. It was like he was singing this pain filled song to heal my heart.

Thank you to the person who gave me gokd"
71,htp2u4n,Mad World Gary Jules version. A bit sad but that’s what makes it so beautiful
72,htom4yn,Going To California - Led Zeppelin
73,htongl6,Solsbury Hill-Peter Gabriel
74,htondnj,Hallelujah - Rufus Wainwright (Shrek soundtrack)
75,hto88ch,Wichita Lineman - Glen Campbell
76,htoqhc1,"Morning Has Broken, Cat Stevens."
77,htp10pu,Gymnopedies 3 by Satie: https://youtu.be/363J09VlN5A
78,hto5rl4,nights in white satin - moody blues
79,htodb4l,Needle in the Hay by Elliott Smith
80,htojq2d,One night I got high and listened to Jeff Buckley hallelujah at 432hz. I cried like a baby
81,htok6pb,New slang by the shins
82,htp4ocf,Into my arms - Nick Cave
83,htp4clp,Bittersweet Symphony. Beautiful and haunting.
84,htouaj4,Black by Pearl Jam
85,hto96mm,"""just Like Heaven""-The Cure"
86,hto8w3d,[In My Life](https://5050.stannaz.uk/r?x=eW91dHViZS5jb20vd2F0Y2g%2Fdj1kUXc0dzlXZ1hjUQ&y=eW91dHViZS5jb20vd2F0Y2g%2Fdj1ZQmNkdDZEc0xRQQ) by The Beatles
87,htoc7jz,Yellow Ledbetter by Pearl Jam.
88,htoj6uq,Sting - Fields of gold
89,htoelq8,Ocean - John Butler Trio
90,hto5vvw,We’ve only just begun. The Carpenters.
91,htoncdc,Ive never hit the upvote so many times in one post. You folks have some fantastic taste.
92,hto84et,Vienna by Billy Joel
93,htohlsi,3 Libras- A Perfect Circle
94,htou654,Je ne regrette rien by Edith Piaf… absolutely no clue what she says but its gorgeous
95,htonvjd,How to Disappear Completely - Radiohead
96,htoy9fe,Father and Son by Cat Stevens
97,htobd8g,My immortal. That song just has so much nostalgia to it
98,htpg48e,Street Spirit (fade out) - Radiohead
99,htoo8r6,"casimir Pulaski day sufjan stevens 

Towers Bon iver

Gymnopedie no 1 Erik Satie"
100,htok3jp,[Song Bird ](https://youtu.be/C_JdKJQPS9I) by Fleetwood Mac.
101,htp18mz,"Fast Car - Tracy Chapman 
Feathered Indians - Tyler Childers"
102,htom8vy,"Only Time - Enya

My Immortal - Evanescence 

Uninvited- Alanis Morrissette

Fear - Sarah McLachlan 

Mummers Dance - Loreena McKennitt

Awake My Soul - Mumford & Sons

Falling Slowly- Glen Hansard

The Dance - Garth Brooks

Blackbird Song - Lee Dewyze"
103,htp8dxw,"""In My Life"" by the Beatles -- I weep every time. 

""You've Got a Friend"" by James Taylor.  I was a lonely kid, and that sweet old man sings to my soul."
104,htorauk,Let it be - the beatles.  (Was used as the last song at a friend's mother's funeral)
105,htojz7b,"Maybe a little gauche seeing some of the responses here, but :Nightswimming by REM - especially the live version of just Stipe + Mikey Mills on piano..

It gets me every time  


Edit for the vid:   
[https://www.youtube.com/watch?v=KVT0S0j7F9Y&list=RDKVT0S0j7F9Y&start\_radio=1](https://www.youtube.com/watch?v=KVT0S0j7F9Y&list=RDKVT0S0j7F9Y&start_radio=1)  


For any fellow musicians out there, just watch how these absolute pinnacles of performance interact with each other.. I think this is one of the most pure and beautiful moments of live music ever captured.  


Stipe and Mills in perfect sync, wrought through many years of working together.. Just that look at the end where it's a shared moment of "".... damn that was good.."""
106,htojhv0,"The Rain Song by Zeppelin. The slow guitar, Mellotron and Plant's poignant vocals all meld together into a sonic masterpiece."
107,htoslyf,"Needle in the Hay by Elliott Smith

And Darling by Tegan and Sara 

O Comely by Neutral Milk Hotel

Fast Car by Tracy Chapman

I Will Follow You into the Dark by Death Cab for Cutie

All of the Sucession soundtrack lol"
108,htoq4w0,Ode to Joy
109,htppzxr,Crying by Roy Orbison. His voice is beautiful and I have to listen to at least twice in a row.
110,htolmt0,Somewhere over the Rainbow
111,htok4yr,Little Talks - Of Monsters and Men
112,htou28o,Angel from Montgomery - John Prine wrote it but the Bonnie Raitt version
113,htobg1o,The Great Gig in the Sky - Pink Floyd
114,htojvz6,be quiet and drive (far away) by deftones
115,htpp6fu,California Dreamin' - The Mamas & The Papas
116,htor6vg,"Petal - Raveena 

Come Away with Me - Norah Jones

Like A Star - Corrine Bailey Rae 

Samurai Cop (Oh Joy Begin) - Dave Matthews Band

Yellow - Coldplay

I Will Follow You Into the Dark - Death Cab For Cutie 

Bloom - The Paper Kites

No One’s Gonna Love You - Band of Horses

By Your Side - Sade 

The Sweetest Gift - Sade

I’m Kissing You - Des’ree 

Youth - Daughter 

The Fall - Rhye

Hard To Love (The Mahogany Sessions) - Hamzaa 


…I promise I’m okay, but I’ve always loved cathartic music."
117,hto9sdy,I can’t make you love me- Bon Iver version
118,htonyky,What A Wonderful World by Louis Armstrong
119,htoljdx,Hallelujah Jeff Buckley
120,htot9cp,"“Never My Love” by The Association

[Here’s the song ](https://youtu.be/rI8hS6IystA)I was referring to."
121,htowzh4,Across the universe-the Beatles
122,htof5hc,"Killing Me Softly With Her Song

This song just... melts me!

Edit: My favorite is the original Perry Como version. I used to sing it to my ex. Although all the others are awesome too!"
123,htotnmp,Moon river
124,htozl8v,"Between the Bars by Elliot Smith. 
I find it haunting yet beautiful."
125,hto8v5g,"""Landslide"" -Fleetwood Mac or ""Fade Into Me"" -Mazzy Star"
126,htoany1,Song for Zulu- phosphorescent
127,htokqxy,"Youth by Daughter

*EDIT*
My favorite version of it
https://youtu.be/uG_vUu2l52c"
128,htotaa6,Never my love - the Association
129,htokmzk,Yo a good thread ask reddit post tf. Gonna be listening to some of these tonight.
130,htp19l8,Mad World
131,htokymc,Pink Moon - Nick Drake
132,htoh1zi,Baby Mine by Alison Krauss
133,hto9bps,Transatlanticism by Death Cab For Cutie
134,htpdtfv,Blackbird by the Beatles
135,htp3g7a,In your eyes - Peter Gabriel
136,htpnmf5,"Moby - Porcelain 

I get lost every time"
137,htp94px,Shine on you crazy diamond (part 1-5) - Pink Floyd
138,htordrd,"The Dance-Garth Brooks 
The one and only time I danced with my dad. About 13 or so. Just lost him Dec of last year. 40 now and I wish I could go back"
139,htoakak,"Never coming back- Violet Evergarden

But dude, listen to the whole Violet Evergarden sound track sometime, it's a beauty"
140,htocj99,"The Nothing Song - Sigur Rós

So hauntingly beautiful, I could just keep my eyes closed through the whole thing"
141,htp463k,"Into the West, Annie Lennox, especially given the context of the song at the conclusion of one of the best stories ever told"
142,htotsle,River flows in you is the only instrumental song I’ve ever cried about
143,htom5fv,Ode to My Family by the Cranberries.
144,htpulje,Fast Car by Tracy Chapman. Such a beautiful and sad song.
145,htor31z,Only Time-Enya
146,hto5tii,"Hard for me to pick between Samual Barber's Adagio For Strings, Leonard Cohen's Hallelujah, Claude Debussy's Clair de Lune, Iz's cover of Somewhere Over the Rainbow, and Elvis' Can't Help Falling in Love. These songs just move me."
147,htp738l,Love will tear us apart.  Joy Division.
148,htoo0f4,The first time I heard my daughter singing twinkle twinkle little star. She was 16 months old and I put her to bed. I heard her little voice singing Twinkle Twinkle to herself through the baby monitor. Most beautiful thing I have ever heard.
149,htovy9a,Echoes by Pink Floyd
150,htp3lac,Oh Comely by Neutral Milk Hotel
151,htoaigm,[deleted]
152,htog99f,Wichita Lineman
153,htoebyx,"I’ll be your mirror - Nico and the Velvet Underground



Edit: my husband says the song Jessie sings in toy story 2 when they put her in the box"
154,htpa0m9,"End of the World - Skeeter Davis

Also,  Dolly Partons - I will love you.  I find it more emotional than Whitney’s version, though I do enjoy Whitney’s from time to time. 

I’m not really a country fan but these two songs are honestly so beautiful."
155,htp2r0m,"Black by Pearl Jam. Don’t know honestly the most beautiful song I’ve ever heard because there are lots but this one I feel is beautiful, emotional, and reminds me of a particular time of my life. I could listen to it over and over and I don’t think I’d get tired of it."
156,htoe278,"I’m Kissing You - Des’ree 

From the fish tank scene in ‘Romeo + Juliet’ 

‘But watching stars without you, my soul cried’ 

So much emotion in this one"
157,htp5y39,"The Chain by Fleetwood Mac 

There’s just something about it that always makes my mind happy."
158,htop64z,"There's a few songs on Dire Straits' Brothers in Arms album that I feel are beautiful:

Why Worry,
Ride Across the River,
The Man's Too Strong,
Brothers in Arms"
159,htp7jiu,Wuthering Heights - Kate Bush
160,htpihum,"Canon in d- Pachelbel's cannon.

Aka the wedding entrance song.

Cliche, but it's what my wife walked down the aisle to.  I hadn't seen her yet that day, hadn't seen her in her dress.

Holy hell, her beauty just took my breath away as the piano, harp, and violin players played those beautiful and haunting notes.  It's been Going on 2 decades now and I still can close my eyes and hear every note, see her walking down that aisle.

Edit: Writing this post last night got me thinking about this song. I asked Alexa to play it this morning, and I mentioned my memories about it to my wife.  She was surprised I have such vivid memories of it! I think I'm in her good graces today! At least until the next time I do something really stupid, which will probably be by this afternoon. =)"
161,hto8frq,"Different music grabs you at different times in your life and becomes beautiful for that moment. Twelve year old me and forty year old me have  different opinions...thats how its supposed to be.

The other day I heard **""Good ole boys like me"" by Don Williams**..and I remembered hearing it as a kid in the back of my parents station wagon and it took me back....it made me think thats one of the most God damned beautifully haunting songs ever."
162,htojtl4,Schindler's List Theme by John Williams
163,htopvz5,Fix You by Coldplay.
164,htol0b8,"Ahead by a Century, The Tragically Hip."
165,htohpnf,9 crimes by Damien Rice
166,hto6sel,"Eleanor Rigby by The Beatles, closely followed by 50 Ways to Leave Your Lover by Paul Simon."
167,htpfxnt,Fast Car - Tracy Chapman
168,htp7b9w,Cold little heart - Michael Kiwanuka
169,hto776h,I know it is such a cliche but stairway to heaven
170,hto7nrw,Thirty-Three by Smashing Pumpkins
171,htolsyo,"Nothing compares 2 U - Chris Cornell live session 

This is agonisingly beautiful.. not just for the effortless skill and passion, but looking at it retrospectively   


[https://www.youtube.com/watch?v=IuUDRU9-HRk](https://www.youtube.com/watch?v=IuUDRU9-HRk)  


  
I genuinely apologise in advance for your heartstrings and tear ducts."
172,htp8oo0,Mr. blue sky.  Its just plain beauty.
173,htp0hf9,Into The Mystic by Van Morrison
174,htp6cle,"10,000 Days by Tool - especially if you know the background of the song"
175,htorpwh,i'll follow you into the dark -- death cab for cutie
176,htoao8i,Dreams Van Halen
177,htp99bm,"The Man Who Sold The World,  
both the Nirvana version and the OG David Bowie version"
178,htobnx8,Shrike by Hozier
179,hto57pc,Holland 1945 by Neutral Milk Hotel
180,htp2bgc,"Nessun Dorma, the Luciano Pavarotti version.

There's this crescendo in the song that just takes my breath away every time and brings tears to my eyes.  I don't even need to understand the words to feel the passion in that man's voice."
181,htp63r1,Harvest Moon-Neil Young.
182,htocsbi,Glycerin by Bush
183,htoedqj,Aqueous Transmission…on shrooms
184,htpbv22,Breathe Me by Sia. Haunting
185,htpaohr,The night we met - lord huron. Hauntingly beautiful and it’s feature in thirteen reasons why makes it all the more powerful
186,htohs7z,I don’t know but off the top of my head I’d say Apres Moi by Regina Spektor
187,htp0ypk,space song- beach house
188,htoxg90,Everybody Wants to Rule the World (Tears for Fears)
189,htovgeb,Sound & Vision David Bowie
190,htp487d,"November Rain. Despite what the music video might have you think, the orchestra sounds on the actual song were done entirely by Axl Rose using synthesizers, one layer at a time. Say what you want about that guy, but when he commits, he commits."
191,htpe5yj,Hallelujah - Jeff Buckley
192,htopisz,Nights In White Satin - The Moody Blues.
193,htotoou,"Personal reasons: Mayonaise by Smashing Pumpkins

Musically: Cosmic Love by Florence"
194,htpjg4b,Nightswimming by R.E.M.
195,htp58k4,Yesterday by Paul McCartney
196,htopz37,"there’s so many comments but if this reaches a least one person who will listen, thank you. this song reminds me of life. All the happy, the sad, the angry, growing up, and growing old as the memories of your life slide through your fingers like sand. 

Patrick Watson - Je Te laisserai des mots 🌖"
197,htox10w,Radiohead - Motion Picture Soundtrack
198,htomum2,"Colorblind - Counting Crows

Simple... Evocative... Short... Haven't heard a new song do something like this in a long time."
199,hto8bhg,The spirits carries on - Dream Theater
200,htov763,Vincent - Don McLean
201,htpcq5d,I heard Nessun Dorma by Pavarotti when I was like 8 and just stopped. I rewound it over and over and over and wasn’t sure what I was hearing or what it meant. I just felt goose bumps.
202,htonuqk,"I know. I suck. But: fade into you, by mazzy star."
203,htpau24,"*Hurt*

The Johnny Cash version. So real & humanly frail in its beauty. 

But *Bent* by Matchbox20, there is just something perfect about that song."
204,htogz4c,Make you feel my love Adele version
205,htooixr,"“The Suburbs” by Arcade Fire.

The transition from that to “Ready to Start” is still my favourite 2 song sequence in any album. The album for these two songs, “The Suburbs”, won the 2011 Grammy for Album of the Year and they were very unknown at the time so it was an underdog story."
206,htoeeq6,"More Than Words

https://www.youtube.com/watch?v=UrIiLvg58SY&ab\_channel=ExtremeVEVO"
207,htomr05,John Denver- Sunshine on My Shoulders
208,htoslp9,"O' Holy Night by a Danish choir called ""BarbAros"". Unfortunately you won't find it anywhere because it was given to me by a friend in the choir, so its in a special folder on my laptop. Not sure if I can share it others either, but there's been moments where I've been so sad, turn it on, and experience such catharsis by the end of the song means a lot to me. It has helped me in sooo many ways. I cannot thank my friend enough for this gift."
209,htp8hcn,"Dream a little dream of me, Mama Cass"
210,htoka23,Hunger Strike by Temple of the Dog.
211,hto689d,Only one-Kanye west
212,htom9i3,"meet me in the woods - lord huron   


one of my all time favorites, can never get enough of it."
213,htp0wrp,"La Vie en Rose- Edith Piaf
Heard it a lot growing up in romantic scenes of movies and TV shows and as background in some games... but there was one contestant on the voice (Australia I think) named Rachael Leahcar who sang it for her audition, and it was the first time a song ever moved me to tears."
214,htp5uil,Bye Bye Little Sebastian - Mouserat
215,htonqvf,Everything in its right place - Radiohead
216,htp1evk,Skinny love - bon iver
217,htojkb4,"Too many, the ones that made my heart literally feel some way were: i know its over - jeff buckley, exit music (for a film)- radiohead, will you still love me tomorrow- amy winehouse, clair de lune - debussy, going to California- Led Zeppelin"
218,htokqiv,"The Rolling Stones- Moonlight Mile

The Impressions- People Get Ready

Simon and Garfunkel- The Only Living Boy In New York

Todd Rundgren- Hello It’s Me"
219,htoo4y7,"Only In Dreams by Weezer.  It's one of those songs that makes you want to contact the songwriter (Rivers Cuomo in this case) and thank them for bringing it into existence.  I have rocked out to it, it has given me goosebumps, and it has made me cry."
220,htoef40,"Vermilion pt2 slipknot

Anyone suffering through a death of a loved one, a breakup, divorce or even an obsessive crush can relate to the song

however the bloodstone mix is alot quieter, calmer and more beautiful I'd say"
221,hto687h,The End by The Doors
222,htp7rxz,Tale as Old as Time from the animated Beauty and the Beast
223,htpfkuo,M83's midnight City
224,hto40rd, Clocks by Coldplay
225,hto6v6r,Waltz 1 by Elliott Smith
226,htoav1z,"Very Old School: Judy Garland- Over the rainbow. Please check it out.

https://www.youtube.com/watch?v=PSZxmZmBfnU"
227,htp06d6,ex factor by lauryn hill
228,htp5p42,"Desperado by the eagles

One of the few songs i consider to be perfect"
229,htolih9,The Sound of Silence but the Disturbed version. Legit get goosebumps when I hear this. It's the only song that does that to me.
230,htoxyxr,"Dance with my father - Luther Vandrose

Your Eyes -- Peter Gabriel

He stopped loving her today - George Jones

Lucky Man - Emerson Lake and Palmer"
231,htpjl2q,Fast Car by Tracy Chapman
232,htoi6bb,"A couple others:

&#x200B;

*Late For the Sky* by Jackson Browne

*Silent Lucidity* by Queensryche

*Quietest Friend* by Pedro the Lion

*Living Years* by Mike + The Mechanics

*Amie* by Damien Rice

*Staralfur* by Sigur Ros  


*Found Out About You* by Gin Blossoms"
233,htopy3i,Runaway by Kanye
234,htp4gf6,Hallelujah by Leonard Cohen. The song is so beautiful that it causes physical longing for … something. Idk. It’s lovely.
235,htofigu,"Idk why, but Fragile by Sting draws me in like no other song."
236,htog6va,TRUE LOVE WAITS - RADIOHEAD I’m sorry
237,htooei5,Angel- Sarah McLachlan
238,htootpp,"Hold On- Tom Waits. 

I sat up in the hospital room with my grandma during her last night. I held her hand and sang her this song. I doubt she heard me, but maybe she did."
239,htos7ch,Roads - Portishead
240,htosbw8,Forever young
241,htot7fu,Any song by Gordon Lightfoot.
242,htp8weq,Whatever song Andy played in The Shawshank Redemption
243,htohh5x,I Remember You by Skid Row or Tears in Heaven - Eric Clapton
244,htoilgo,November rain
245,htoqm9l,Colt 45 - Afroman is simple yet elegant
246,htos9y2,Let it be
247,hto4be1,Imagine   by John Lennon
248,hto7icg,[deleted]
249,hto8rhu,cherry waves by deftones
250,htohmb7,I’d say [Lacrymosa](https://youtu.be/fwXGGGHVE7A) is up there.
251,htpc3o7,Young and Beautiful by Lana del Rey
252,htotgqc,Lovers spit - broken social scene
253,hto6w4k,Simple Man
254,htpcdfn,"Purple Rain by Prince has gotta be high up there, especially when the solo kicks in."
255,htoszat,This Woman’s Work - by Kate Bush 🥺
256,htp0n4s,Old Man by Neil Young
257,htp54i2,3 Libras - A Perfect Circle
258,htpnbrd,Do you realize?? - The flaming Lips
259,htom0ja,The Winner Takes it All by Abba
260,htorqjr,“I Cum Blood” by Cannibal Corpse.
261,htolhvs,On the nature of daylight by max ritcher
262,hto8dhh,It’s all Coming Back to Me Now
263,htoa5d2,"Faithfully by Journey  
Or Hard to Say I'm Sorry by Chicago

Or Will you Still Love Me by Chicago"
264,htoi0hh,Where the streets have no name- U2
265,hton12p,"River Man - Nick Drake

Fantasia on a Theme by Thomas Tallis - Ralph Vaugn Williams

Take Me Home Country Road - John Denver

All move me to tears and Fantasia is probably my favourite music of all time."
266,htofwuy,"My answer probably changes every week, but the beauty I need in my life this week is *A Kissed Out Red Floatboat* by Cocteau Twins."
